narK	nrfABCDEFG	dnaKJ	ibpAB	grpE	hflB	clpP	htpG	FruR	ptsHI_crr	icdA	cpxAR	uhpT	tonB	dnaA	narL	deoR	uppS_cdsA_ecfE	mglBAC	ebgAC	malK_lamB_malM	mopB	fucPIKUR	fecIR	tnaLAB	sodA	deoCABD	fepB	yhfA	glgS	acs	htrA	srlAEBD_gutM_srlR_gutQ	caiF	fur	ecfK	rpoH	mopA	rpoE_rseABC	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	cirA	cyaA	speC	araBAD	ansB	nagBACD	araJ	nupG	araC	ivbL_ilvBN	fnr	malS	gntT	cydAB	manXYZ	appCBA	ompC	yjdHG	htpY	malI	pspABCDE	malT	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	marRAB	cyoABCDE	soxS	nfo	rpoD	tsx	caiTABCDE	himA	dcuB_fumB	cytR	gntKU	arcA	fhuACDB	frdABCD	ecfD	malEFG	appY	focA_pflB	aceBAK	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	lon
htrA	grpE	hflB	caiF	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	deoCABD	ecfK	fepB	glgS	acs	ebgAC	araC	ansB	fnr	himA	cytR	fur	nupG	gntKU	araJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	narK	ivbL_ilvBN	uhpT	icdA	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	gntT	tsx	ecfG	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	melAB	nrfABCDEFG	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
lon	nrfABCDEFG	dnaKJ	ibpAB	grpE	hflB	FruR	ptsHI_crr	icdA	cpxAR	malK_lamB_malM	yhfA	fucPIKUR	tonB	narL	deoR	mglBAC	mopB	uppS_cdsA_ecfE	fecIR	srlAEBD_gutM_srlR_gutQ	rpoH	sodA	tnaLAB	deoCABD	fur	glgS	htrA	acs	ebgAC	araC	fepB	clpP	ecfK	nupG	htpG	rpoE_rseABC	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	cirA	cyaA	speC	araBAD	fnr	mopA	nagBACD	araJ	ansB	caiF	himA	cytR	tsx	gntT	cydAB	manXYZ	appCBA	ompC	yjdHG	htpY	malI	malS	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	marRAB	cyoABCDE	soxS	nfo	rpoD	malT	caiTABCDE	aceBAK	appY	narK	gntKU	uhpT	arcA	fhuACDB	frdABCD	ecfD	malEFG	dcuB_fumB	nuoABCEFGHIJKLMN	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	ivbL_ilvBN
ivbL_ilvBN	uhpT	malK_lamB_malM	fucPIKUR	fucAO	yhfA	gntT	ebgAC	glgS	malEFG	mglBAC	speC	crp	araBAD	malT	cirA	fixABCX	hypABCDE	nrfABCDEFG	cyaA	fepB	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	rpoE_rseABC	deoCABD	htpG	ecfABC	htrA	acs	mopA	rpoH	araC	ansB	ibpAB	mopB	ptsHI_crr	himA	clpP	nagBACD	araJ	nupG	dnaA	ecfK	ppiA	ecfH	fur	lpxDA_fabZ	srlAEBD_gutM_srlR_gutQ	xprB_dsbC_recJ	araE	fkpA	fnr	caiF	cytR	appCBA	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	ompC	manXYZ	narK	cydAB	gntKU	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	tsx	lon
malK_lamB_malM	gntKU	uhpT	fucAO	yhfA	fucPIKUR	crp	araBAD	mglBAC	malEFG	speC	gntT	glgS	ebgAC	malT	cirA	fixABCX	hypABCDE	nrfABCDEFG	mopB	fecIR	uppS_cdsA_ecfE	sodA	tnaLAB	deoCABD	fepB	htrA	acs	araC	srlAEBD_gutM_srlR_gutQ	caiF	fur	xprB_dsbC_recJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	lpxDA_fabZ	fnr	ppiA	dnaA	ptsHI_crr	cyaA	clpP	nagBACD	araJ	nupG	ecfK	ansB	ivbL_ilvBN	himA	appCBA	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	ompC	manXYZ	cytR	cydAB	narK	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	tsx	lon
pspABCDE	htrA	ecfABC	lon	narK	nrfABCDEFG	marRAB	nagBACD	ebgAC	yhfA	himA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fur	fepB	fnr	glgS	ansB	acs	araC	deoCABD	araJ	ecfK	nupG	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	cytR	caiF	gntKU	uhpT	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	cyoABCDE	tonB	soxS	nfo	rpoD	gntT	tsx	malT	dcuB_fumB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	caiTABCDE	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	ivbL_ilvBN
clpP	htpG	grpE	narK	lon	srlAEBD_gutM_srlR_gutQ	rpoE_rseABC	ecfH	fkpA	lpxDA_fabZ	ecfK	uppS_cdsA_ecfE	rpoD	ecfG	mopA	tsx	appCBA	arcA	rpoH	cytR	sodA	caiF	ompC	fucPIKUR	nagBACD	araJ	nupG	sdhCDAB_b0725_sucABCD	fur	yhfA	pspABCDE	mopB	araBAD	mglBAC	malK_lamB_malM	deoR	fecIR	malS	tnaLAB	deoCABD	dmsABC	speC	manXYZ	FruR	nfo	soxS	tonB	cyoABCDE	ibpAB	ecfABC	marRAB	crp	cyaA	araE	xprB_dsbC_recJ	ostA_surA_pdxA	ppiA	dnaA	ptsHI_crr	cirA	fepB	glgS	htrA	fucAO	focA_pflB	cpxAR	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	nuoABCEFGHIJKLMN	acs	aceBAK	caiTABCDE	malT	nrfABCDEFG	yjdHG	gntT	cydAB	dcuB_fumB	appY	narL	malEFG	ebgAC	araC	ansB	fnr	himA	dnaKJ	malI	gntKU	uhpT	icdA	hflB	htpY	fhuACDB	frdABCD	ecfD	ivbL_ilvBN
appCBA	ptsHI_crr	grpE	htpG	hflB	clpP	fixABCX	tnaLAB	fnr	cydAB	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	caiF	fecIR	sodA	fur	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	yhfA	araJ	ecfK	nupG	rpoH	mopA	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	cirA	cyaA	speC	araBAD	nagBACD	cytR	himA	ivbL_ilvBN	narK	pspABCDE	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	deoR	sdhCDAB_b0725_sucABCD	tsx	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	gntT	nrfABCDEFG	gntKU	dcuB_fumB	uhpT	icdA	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	focA_pflB	malT	ecfG	melAB	tdcABCDEFG	gltA	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
cirA	fepB	deoCABD	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	caiF	fur	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	narK	yhfA	ecfK	uhpT	nupG	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	clpP	nagBACD	araJ	gntKU	ivbL_ilvBN	icdA	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	hflB	tsx	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	lon
ptsHI_crr	caiF	deoCABD	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fepB	fur	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	narK	yhfA	ecfK	uhpT	nupG	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	gntKU	ivbL_ilvBN	icdA	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	hflB	tsx	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	lon
rpoD	ecfG	xprB_dsbC_recJ	deoCABD	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	caiF	fur	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	yhfA	nupG	ecfK	gntKU	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	narK	ivbL_ilvBN	uhpT	icdA	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	cydAB	gntT	tsx	focA_pflB	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	melAB	nrfABCDEFG	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
malT	gntT	mglBAC	ebgAC	araBAD	speC	glgS	crp	ivbL_ilvBN	yhfA	fucPIKUR	malK_lamB_malM	fucAO	gntKU	uhpT	melAB	cyaA	malS	tsx	fepB	uppS_cdsA_ecfE	htrA	acs	sodA	araC	mopB	fecIR	deoCABD	ansB	srlAEBD_gutM_srlR_gutQ	tnaLAB	nupG	fur	ecfK	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	clpP	nagBACD	araJ	himA	fnr	caiF	cytR	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	appCBA	cydAB	narK	nrfABCDEFG	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	tdcABCDEFG	gltA	fixABCX	hypABCDE	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
dnaA	focA_pflB	lon	narK	htpG	fepB	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	deoCABD	rpoH	rpoE_rseABC	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	srlAEBD_gutM_srlR_gutQ	yhfA	fur	gntKU	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	mopA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	araJ	nupG	ecfK	caiF	uhpT	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	icdA	tsx	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	ivbL_ilvBN
sdhCDAB_b0725_sucABCD	araC	cirA	caiF	tnaLAB	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	deoCABD	ecfK	fepB	glgS	htrA	acs	ebgAC	ansB	fnr	himA	cytR	fur	nupG	gntKU	araE	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	xprB_dsbC_recJ	araJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	speC	araBAD	clpP	nagBACD	narK	ivbL_ilvBN	uhpT	gntT	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	tsx	icdA	nrfABCDEFG	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
soxS	caiF	deoCABD	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fepB	ecfK	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	fur	nupG	gntKU	araJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	narK	ivbL_ilvBN	uhpT	gntT	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	nfo	rpoD	cydAB	tsx	icdA	nrfABCDEFG	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
marRAB	narL	dnaA	FruR	caiF	tnaLAB	yhfA	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	fepB	deoCABD	ecfK	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	fur	araJ	nupG	araE	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	xprB_dsbC_recJ	narK	lpxDA_fabZ	ppiA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	cytR	ivbL_ilvBN	gntKU	uhpT	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	cyoABCDE	tonB	soxS	nfo	rpoD	gntT	tsx	nrfABCDEFG	focA_pflB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	appY	dcuB_fumB	ecfG	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
lpxDA_fabZ	rpoD	ecfK	uppS_cdsA_ecfE	rpoE_rseABC	ecfH	fkpA	ecfABC	cirA	grpE	clpP	htpG	hflB	ecfD	mopB	soxS	acs	ansB	mglBAC	malK_lamB_malM	fnr	fecIR	sodA	tnaLAB	fucPIKUR	deoCABD	fepB	araC	glgS	htrA	ebgAC	caiF	araJ	srlAEBD_gutM_srlR_gutQ	dnaA	rpoH	mopA	ibpAB	crp	araE	xprB_dsbC_recJ	ppiA	ptsHI_crr	yhfA	cyaA	speC	araBAD	nagBACD	cytR	nupG	fur	himA	ivbL_ilvBN	narK	malS	cydAB	manXYZ	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	deoR	tsx	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	nfo	gntT	nrfABCDEFG	gntKU	focA_pflB	uhpT	icdA	arcA	fhuACDB	frdABCD	malEFG	narL	appY	dcuB_fumB	ecfG	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
cyaA	malS	fepB	malEFG	speC	araBAD	glgS	crp	malT	mglBAC	ebgAC	gntT	uppS_cdsA_ecfE	mopB	fucPIKUR	srlAEBD_gutM_srlR_gutQ	malK_lamB_malM	caiF	fecIR	sodA	yhfA	deoCABD	htrA	acs	araC	ansB	fnr	himA	tnaLAB	nupG	fur	ecfK	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	clpP	nagBACD	araJ	narK	cytR	ivbL_ilvBN	gntKU	pspABCDE	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	grpE	deoR	sdhCDAB_b0725_sucABCD	cydAB	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	tsx	uhpT	focA_pflB	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	ecfG	nrfABCDEFG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
araJ	caiF	deoCABD	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	fepB	fur	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	narK	yhfA	ecfK	uhpT	nupG	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	gntKU	ivbL_ilvBN	icdA	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	hflB	tsx	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	lon
ppiA	cyoABCDE	cirA	ompC	himA	araJ	fepB	deoCABD	ebgAC	fnr	srlAEBD_gutM_srlR_gutQ	fucPIKUR	mopB	mglBAC	cytR	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	acs	sodA	ansB	tnaLAB	fur	araC	glgS	htrA	yhfA	caiF	ecfK	araE	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	xprB_dsbC_recJ	nupG	lpxDA_fabZ	dnaA	ptsHI_crr	cyaA	speC	araBAD	clpP	nagBACD	gntKU	narK	ivbL_ilvBN	uhpT	icdA	cydAB	manXYZ	appCBA	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	tonB	soxS	nfo	rpoD	gntT	tsx	nrfABCDEFG	focA_pflB	hflB	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	ecfG	malT	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
tnaLAB	ivbL_ilvBN	yhfA	malK_lamB_malM	fucPIKUR	gntKU	arcA	appCBA	deoR	ibpAB	fepB	mopB	mglBAC	mopA	uppS_cdsA_ecfE	fecIR	sodA	rpoH	deoCABD	glgS	srlAEBD_gutM_srlR_gutQ	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	htpG	rpoE_rseABC	ecfABC	ptsHI_crr	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	cirA	fur	cyaA	speC	araBAD	clpP	nagBACD	araJ	narK	ecfK	nupG	caiF	uhpT	pspABCDE	manXYZ	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	sdhCDAB_b0725_sucABCD	gntT	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	cydAB	tsx	icdA	ecfG	hflB	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	melAB	nrfABCDEFG	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	lon
ivbL_ilvBN	gntKU	malK_lamB_malM	fucAO	fucPIKUR	yhfA	uhpT	ecfABC	ecfH	mglBAC	mopA	rpoH	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	deoCABD	fepB	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	narK	mopB	htpG	srlAEBD_gutM_srlR_gutQ	cirA	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	rpoE_rseABC	speC	araBAD	clpP	nagBACD	araJ	nupG	ibpAB	fur	ecfK	caiF	icdA	hflB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	cydAB	gntT	ecfG	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	melAB	tsx	tdcABCDEFG	gltA	fixABCX	hypABCDE	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	lon
ivbL_ilvBN	gntKU	uhpT	malK_lamB_malM	yhfA	fucPIKUR	crp	mglBAC	malEFG	glgS	speC	gntT	ebgAC	malT	araBAD	cirA	hypABCDE	nrfABCDEFG	mopB	sodA	uppS_cdsA_ecfE	fecIR	tnaLAB	deoCABD	fepB	htrA	acs	araC	ansB	srlAEBD_gutM_srlR_gutQ	ecfK	fur	himA	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cyaA	clpP	nagBACD	araJ	nupG	fnr	caiF	cytR	pspABCDE	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	sdhCDAB_b0725_sucABCD	narK	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	appCBA	manXYZ	cydAB	tsx	icdA	hflB	arcA	fhuACDB	frdABCD	ecfD	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	lon
fepB	srlAEBD_gutM_srlR_gutQ	deoCABD	yhfA	fucPIKUR	mopB	mglBAC	malK_lamB_malM	uppS_cdsA_ecfE	fecIR	sodA	tnaLAB	caiF	uhpT	glgS	htrA	acs	ebgAC	araC	ansB	fnr	himA	cytR	narK	fur	ecfK	nupG	araJ	rpoH	mopA	htpG	rpoE_rseABC	ibpAB	ecfABC	ecfH	fkpA	crp	araE	xprB_dsbC_recJ	lpxDA_fabZ	ppiA	dnaA	ptsHI_crr	cirA	cyaA	speC	araBAD	clpP	nagBACD	gntKU	ivbL_ilvBN	icdA	cydAB	appCBA	ompC	yjdHG	cpxAR	htpY	malI	dnaKJ	malS	grpE	deoR	pspABCDE	sdhCDAB_b0725_sucABCD	dmsABC	ostA_surA_pdxA	FruR	marRAB	cyoABCDE	tonB	soxS	nfo	rpoD	manXYZ	gntT	hflB	tsx	arcA	fhuACDB	frdABCD	ecfD	malEFG	narL	appY	dcuB_fumB	focA_pflB	ecfG	melAB	tdcABCDEFG	gltA	fixABCX	hypABCDE	fucAO	nuoABCEFGHIJKLMN	aceBAK	caiTABCDE	malT	nrfABCDEFG	lon
